pqif,seed,nloop,sigma2,tau_rec,tau_div,tau_con,tau_chn,sim,vrest,gain
0.25,30,15,11.202594049262082,-0.0204347527891669,-0.0010951422468041,-0.0046027411739861,0.0002930418598209,1,-8.5,14.44
0.25,31,15,11.391729276899746,-0.0268066397329742,0.0004245534930598,-0.004611526986973,0.0008805269927761,1,-8.5,14.44
0.25,32,15,10.770956821978851,-0.0289288450204042,0.000184859079544,-0.0048141139110953,0.0004802310724714,1,-8.5,14.44
0.25,33,15,11.125543436520406,-0.0235444673412395,0.0009472969547159,-0.004630755662192,2.309288953214148e-05,1,-8.5,14.44
0.25,34,15,12.355281321989368,-0.0302269719791566,-0.0007789340784132,-0.0047068952337197,3.5108752411018794e-05,1,-8.5,14.44
0.25,35,15,11.857240160806803,-0.0076423531555873,-0.0018853468334992,-0.0047656887275245,0.0001122672598121,1,-8.5,14.44
0.25,36,15,11.332518868445892,-0.0268816202005226,0.0001296592166442,-0.0045939603502666,9.806999238070884e-05,1,-8.5,14.44
0.25,37,15,11.69477069750402,-0.003110310492202,0.0010227771882543,-0.0047927710150593,0.0001754666638848,1,-8.5,14.44
0.25,38,15,11.292823075773276,-0.0197066140664035,-0.0007765164536134,-0.0045787442901005,0.0003070535083411,1,-8.5,14.44
0.25,39,15,11.893196405733388,-0.0262475159867193,-0.0006937641666765,-0.0046918684783191,-4.147870862404441e-06,1,-8.5,14.44
0.25,40,15,11.248700279801342,-0.0337570028310884,-0.0010962407459008,-0.0047486825647868,-8.841958261729509e-06,1,-8.5,14.44
0.25,41,15,10.360610796170024,-0.0181002014927692,-0.00032207436847,-0.0047223397262351,-1.9079601414868347e-05,1,-8.5,14.44
0.25,42,15,13.075882031939727,-0.0274943160086902,0.0007074649848642,-0.0047747116946388,0.0007438239538241,1,-8.5,14.44
0.25,43,15,12.018131338685684,-0.0065730936906858,-0.000274471965211,-0.0048304947201145,-6.373183063087238e-05,1,-8.5,14.44
0.25,44,15,9.774763820309088,-0.017057634186115,-0.0004294181294641,-0.0045399690609122,-0.0004843600214082,1,-8.5,14.44
0.25,45,15,11.14764390262769,-0.0258269201356118,0.0005631093054759,-0.0046924369715257,-0.0002688358772486,1,-8.5,14.44
0.25,46,15,12.67438382132787,-0.010980123261126,0.000892547585907,-0.0043935377801618,0.0002540914418404,1,-8.5,14.44
0.25,47,15,11.762164442667418,-0.0096895205276905,-0.0015503968232146,-0.0048110224951771,0.0001858076528338,1,-8.5,14.44
0.25,48,15,11.619623061771538,-0.013414119398119,-0.0009858850906215,-0.0046377480193848,-0.0001073235590418,1,-8.5,14.44
0.25,49,15,11.15980813745765,-0.0177839109220317,0.0003688010223406,-0.0045684137888238,0.0007190719859189,1,-8.5,14.44
0.5,0,15,13.15409283140345,-0.0239520281740693,-0.0001129597099904,-0.0044581132398303,0.0001560783492674,1,-8.5,14.44
0.5,1,15,13.286427440925763,-0.0461398471081753,0.0013530105287913,-0.0046510459326395,0.0004068449238851,1,-8.5,14.44
0.5,2,15,12.269702888988077,-0.0396852987690229,0.0012721419248597,-0.0047226234714729,0.0006210613882538,1,-8.5,14.44
0.5,3,15,13.139365404485655,-0.0167911185059995,-0.0010761584997392,-0.0046236867989135,-4.548742685529857e-05,1,-8.5,14.44
0.5,4,15,14.570334120315694,-0.0528786171181125,-0.0003659337251905,-0.0046923433069322,-0.0001706785142814,1,-8.5,14.44
0.5,5,15,12.917217140130948,-0.0329873806112634,-0.0018984806398912,-0.0043543279438095,0.0006025332263646,1,-8.5,14.44
0.5,6,15,13.12492420695161,-0.0332021492177451,0.0022757152920854,-0.0046784219868225,0.0003004340457651,1,-8.5,14.44
0.5,7,15,12.812335090433653,-0.0403719416706641,-0.0005892349984672,-0.0047052648042841,0.0004773345099063,1,-8.5,14.44
0.5,8,15,13.162516130575456,-0.0484122289639436,-0.0006378776182538,-0.004649115749237,0.0007852612231235,1,-8.5,14.44
0.5,9,15,12.567894926699193,-0.0067248092198284,-0.0007075034585736,-0.0045918365260138,4.294462593344941e-05,1,-8.5,14.44
0.5,10,15,11.654940008793414,-0.0274332514682625,-0.00075841207689,-0.0046426602435936,0.0002162795729725,1,-8.5,14.44
0.5,11,15,13.59919331064827,-0.0369250909075092,0.0008454645330841,-0.0044396982349717,0.0011248166098807,1,-8.5,14.44
0.5,12,15,13.504155418487713,-0.0346955727722042,-9.285572323145854e-05,-0.0045082838000541,0.0004972656407409,1,-8.5,14.44
0.5,13,15,12.500611876710355,-0.0480809094982616,0.0006332373660077,-0.0045657387537762,0.001135907875633,1,-8.5,14.44
0.5,14,15,12.107401347384355,-0.0381500517937081,-0.0005083892039047,-0.0046482787119752,-0.0004440375357567,1,-8.5,14.44
0.5,15,15,12.895382203022216,-0.0473261291267083,-0.0011240054801697,-0.0044411057378423,0.0004849747852995,1,-8.5,14.44
0.5,16,15,12.838153640497158,-0.0477764619964005,0.0009319594567453,-0.0046853182399498,0.0005415471916867,1,-8.5,14.44
0.5,17,15,13.11577423020007,-0.0392970911181791,0.000647353774276,-0.0047595056735743,0.0003085724253077,1,-8.5,14.44
0.5,18,15,11.856551674521397,-0.0142727619936639,-0.0014424841462702,-0.0046864632237757,-4.73262850636602e-05,1,-8.5,14.44
0.5,19,15,13.104928453100984,-0.0388171139961514,-0.0013373764408588,-0.0046889010261275,0.0005214337877073,1,-8.5,14.44
0.5,20,15,12.774235792382738,-0.0518871754705932,0.000880261262681,-0.0045537789832789,0.0013363192350333,1,-8.5,14.44
0.5,21,15,13.29492553156856,-0.0096609679779791,-0.00045274305234,-0.0046099524215795,0.0004856402408185,1,-8.5,14.44
0.5,22,15,13.473528629732446,-0.034237361051712,-0.0007893486266116,-0.0045293872856031,0.0005213648005885,1,-8.5,14.44
0.5,23,15,13.0225687783855,-0.0284596895706486,-0.0003786659230251,-0.0046924042055553,0.0003714787678069,1,-8.5,14.44
0.5,24,15,13.001817004801907,-0.0348480669389907,-0.0009359656053568,-0.0046928847448145,3.668892954756163e-05,1,-8.5,14.44
0.5,25,15,11.920697954116624,-0.0412045148075122,0.0064559258645534,-0.0046145903417421,-0.000149121165288,1,-8.5,14.44
0.5,26,15,13.019061654942025,-0.0204044960823839,-0.0017759089838766,-0.004615056074231,6.82336569240207e-05,1,-8.5,14.44
0.5,27,15,13.715909210593614,-0.0215173839948318,-0.0002652637914651,-0.0044608427138551,0.0005385124439918,1,-8.5,14.44
0.5,28,15,13.648994130354994,-0.0518913035657793,0.0001708987250986,-0.0046306944973919,0.0008700664153614,1,-8.5,14.44
0.5,29,15,12.336816081824844,-0.0630935691112344,0.0005206310201739,-0.0046643631102009,0.0003808474507443,1,-8.5,14.44
0.5,30,15,13.130069682043372,-0.0456094150646725,-0.0009799790201069,-0.0044865759315302,0.0006693884469989,1,-8.5,14.44
0.5,31,15,12.62114889814382,-0.0586608827010066,0.0002165088629463,-0.0046857635896601,0.0011285754264357,1,-8.5,14.44
0.5,32,15,12.061608880843592,-0.0480008300984622,9.660766483437068e-05,-0.0047554194077934,0.0009895506887356,1,-8.5,14.44
0.5,33,15,12.10633222658049,-0.0517533852854679,0.0006988806518085,-0.0047587987737429,0.0003014021178772,1,-8.5,14.44
0.5,34,15,13.91653299138135,-0.0466969492015603,-0.0005812207614603,-0.0045972369513896,0.0005964772542261,1,-8.5,14.44
0.5,35,15,12.928582419747904,-0.0295365675732577,-0.0022839264872326,-0.0046136075940802,0.0006516778067103,1,-8.5,14.44
0.5,36,15,12.779668694156571,-0.0471914063734588,0.0002012594628457,-0.0045440265235093,0.0001592739147071,1,-8.5,14.44
0.5,37,15,13.638612049423392,-0.0244410832585851,0.0011731702158549,-0.0048016104183086,0.000255540999878,1,-8.5,14.44
0.5,38,15,12.75892800020648,-0.0377872474389503,-0.0013276300649875,-0.0047901279395989,0.0003713841625271,1,-8.5,14.44
0.5,39,15,13.25140269531876,-0.0486284121094495,-0.0009150129273683,-0.0047491594383824,0.0003176891910183,1,-8.5,14.44
0.5,40,15,12.06314662633903,-0.0591077609448988,-0.0013570726056032,-0.0046186609093614,0.0001655256451132,1,-8.5,14.44
0.5,41,15,11.73221827040914,-0.0365586049495452,-0.0001507600416276,-0.0045778085610676,0.0001935436728216,1,-8.5,14.44
0.5,42,15,13.785750761872828,-0.032451863520796,0.0011267560155583,-0.0046382818874146,0.0008268404800143,1,-8.5,14.44
0.5,43,15,13.687308026317856,-0.0185143090294783,-0.0003165837012721,-0.0047626947637258,0.0001570051744261,1,-8.5,14.44
