simulationID,dynamic,simulation,vrest,slope,pqif,seed,mean,std_pop,std_sample,num_zero_weights,num_non_zero_weights,frac_zero_weights
oscillations_1_0.25_5,oscillations,1,-8.5,14.44,0.25,5,-0.0006676225858309446,0.45073803929455786,0.4507569266812407,28067,11933,0.70
oscillations_1_0.25_6,oscillations,1,-8.5,14.44,0.25,6,-0.0011647961479692667,0.44170769098096674,0.4417261844680054,28057,11943,0.70
oscillations_1_0.25_7,oscillations,1,-8.5,14.44,0.25,7,-0.002250535160901655,0.4373743086330402,0.437392622222858,28058,11942,0.70
oscillations_1_0.25_8,oscillations,1,-8.5,14.44,0.25,8,-0.0025130511978600635,0.43644380980944575,0.4364620874989992,28060,11940,0.70
oscillations_1_0.25_9,oscillations,1,-8.5,14.44,0.25,9,0.0007694111685542263,0.4450290927098527,0.44504772369777074,28056,11944,0.70
oscillations_1_0.25_10,oscillations,1,-8.5,14.44,0.25,10,-0.0007362550211804699,0.4190800905289933,0.41909763223346636,28054,11946,0.70
oscillations_1_0.25_11,oscillations,1,-8.5,14.44,0.25,11,0.0003791901548707781,0.4686325256019758,0.4686521611801212,28066,11934,0.70
oscillations_1_0.25_12,oscillations,1,-8.5,14.44,0.25,12,0.0005058077512794219,0.4550705156688694,0.4550895622531896,28053,11947,0.70
oscillations_1_0.25_13,oscillations,1,-8.5,14.44,0.25,13,4.4731923704519445e-05,0.4312045103002599,0.43122257160041233,28062,11938,0.70
oscillations_1_0.25_14,oscillations,1,-8.5,14.44,0.25,14,0.000683613151866067,0.4322113230644685,0.43222941441137436,28054,11946,0.70
oscillations_1_0.25_15,oscillations,1,-8.5,14.44,0.25,15,-0.0014385713820694785,0.4404116290222786,0.44043006824559144,28057,11943,0.70
oscillations_1_0.25_16,oscillations,1,-8.5,14.44,0.25,16,-0.0004536998282856941,0.4475004335405171,0.4475191726973077,28059,11941,0.70
oscillations_1_0.25_17,oscillations,1,-8.5,14.44,0.25,17,-0.0014346016903602763,0.44209388598938415,0.44211242514130095,28076,11924,0.70
oscillations_1_0.25_18,oscillations,1,-8.5,14.44,0.25,18,-0.0003255269901914741,0.43019506502645616,0.43021307800940245,28058,11942,0.70
oscillations_1_0.25_19,oscillations,1,-8.5,14.44,0.25,19,-0.0010988369897040476,0.43798800614054695,0.4380063377511499,28053,11947,0.70
oscillations_1_0.25_20,oscillations,1,-8.5,14.44,0.25,20,-0.0003695420057399278,0.44322807098579114,0.4432466234677894,28054,11946,0.70
