dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all
oscillations,0.25,16,1,-8.5,14.44,q2,"(50, 150)",0.0006817486673049892,0.06309816494204626,5.1140926594961144e-20,0.06403729662715743
oscillations,0.25,16,1,-8.5,14.44,q3,"(150, 50)",2.181655752760886e-05,0.06483767446259565,5.1140926594961144e-20,0.06403729662715743
oscillations,0.25,16,1,-8.5,14.44,q4,"(150, 150)",-7.228730892774904e-06,0.06429541992758307,5.1140926594961144e-20,0.06403729662715743
oscillations,0.25,17,1,-8.5,14.44,q1,"(50, 50)",0.00010438786090756625,0.061271578173313676,-6.977268882762422e-20,0.0638552878168016
oscillations,0.25,17,1,-8.5,14.44,q2,"(50, 150)",-3.029726833728848e-05,0.0640735568840104,-6.977268882762422e-20,0.0638552878168016
oscillations,0.25,17,1,-8.5,14.44,q3,"(150, 50)",-0.002452171667899334,0.06431791511038486,-6.977268882762422e-20,0.0638552878168016
oscillations,0.25,17,1,-8.5,14.44,q4,"(150, 150)",0.0008207847329747582,0.06385287244709605,-6.977268882762422e-20,0.0638552878168016
oscillations,0.25,18,1,-8.5,14.44,q1,"(50, 50)",0.002107170320271124,0.06409475917442994,7.897644747940271e-20,0.06342351658522172
oscillations,0.25,18,1,-8.5,14.44,q2,"(50, 150)",-0.0007088637482939721,0.06254916248813941,7.897644747940271e-20,0.06342351658522172
oscillations,0.25,18,1,-8.5,14.44,q3,"(150, 50)",-0.0010003370419581989,0.06390191175343483,7.897644747940271e-20,0.06342351658522172
oscillations,0.25,18,1,-8.5,14.44,q4,"(150, 150)",0.0003343798398878262,0.0634596382239431,7.897644747940271e-20,0.06342351658522172
oscillations,0.25,19,1,-8.5,14.44,q1,"(50, 50)",0.0003068258388160957,0.06754080171951611,7.902274082493578e-20,0.06424706057713968
oscillations,0.25,19,1,-8.5,14.44,q2,"(50, 150)",-0.00010077323945094686,0.06454850405989775,7.902274082493578e-20,0.06424706057713968
oscillations,0.25,19,1,-8.5,14.44,q3,"(150, 50)",0.0007404610266019244,0.06441572615373621,7.902274082493578e-20,0.06424706057713968
oscillations,0.25,19,1,-8.5,14.44,q4,"(150, 150)",-0.00024312334463838915,0.06371703717273118,7.902274082493578e-20,0.06424706057713968
oscillations,0.25,20,1,-8.5,14.44,q1,"(50, 50)",-0.0016304410907404107,0.06158173885202864,1.0702963184834689e-19,0.06368479752656096
oscillations,0.25,20,1,-8.5,14.44,q2,"(50, 150)",0.0005157517736015585,0.064241839322429,1.0702963184834689e-19,0.06368479752656096
