simulationID,dynamic,simulation,vrest,slope,pqif,seed,std,mean
oscillations_1_0.5_32,oscillations,1,-8.5,14.44,0.5,32,0.26934877037034244,-0.00040287665029870457
oscillations_1_0.5_33,oscillations,1,-8.5,14.44,0.5,33,0.2557866309417242,0.0007375008416105027
oscillations_1_0.5_34,oscillations,1,-8.5,14.44,0.5,34,0.24625918808046335,0.00041091083060553277
oscillations_1_0.5_35,oscillations,1,-8.5,14.44,0.5,35,0.2564476579724861,0.0004005841103004865
oscillations_1_0.5_36,oscillations,1,-8.5,14.44,0.5,36,0.250853181395326,0.00010819922891435947
oscillations_1_0.5_37,oscillations,1,-8.5,14.44,0.5,37,0.2488595763882188,0.0008632762289743838
oscillations_1_0.5_38,oscillations,1,-8.5,14.44,0.5,38,0.25133209975783555,0.0002055256475955066
oscillations_1_0.5_39,oscillations,1,-8.5,14.44,0.5,39,0.24857698482641985,0.0001691097864202013
oscillations_1_0.5_40,oscillations,1,-8.5,14.44,0.5,40,0.25658420936312243,-0.00026048690381195837
oscillations_1_0.5_41,oscillations,1,-8.5,14.44,0.5,41,0.256147442813037,-0.00015990012156849107
oscillations_1_0.5_42,oscillations,1,-8.5,14.44,0.5,42,0.2580708305581925,0.00014841052577002468
oscillations_1_0.5_43,oscillations,1,-8.5,14.44,0.5,43,0.25342345596601695,0.00048174777080857325
oscillations_1_0.5_44,oscillations,1,-8.5,14.44,0.5,44,0.2679506450421179,8.444799264563714e-05
oscillations_1_0.5_45,oscillations,1,-8.5,14.44,0.5,45,0.24669282466648734,1.597021835077046e-05
oscillations_1_0.5_46,oscillations,1,-8.5,14.44,0.5,46,0.25292775368816495,0.0008581161380012509
oscillations_1_0.5_47,oscillations,1,-8.5,14.44,0.5,47,0.2643832172251855,0.00029169452314465374
oscillations_1_0.5_48,oscillations,1,-8.5,14.44,0.5,48,0.2504832907641307,-0.0004975030262334512
oscillations_1_0.5_49,oscillations,1,-8.5,14.44,0.5,49,0.2508748458859177,-0.0001009402374503755
oscillations_1_0.75_0,oscillations,1,-8.5,14.44,0.75,0,0.2734172994357718,-0.00015849521854202796
oscillations_1_0.75_1,oscillations,1,-8.5,14.44,0.75,1,0.2645865677152144,-0.00010926274174553531
oscillations_1_0.75_2,oscillations,1,-8.5,14.44,0.75,2,0.272419733333548,-0.0003582660714311963
oscillations_1_0.75_3,oscillations,1,-8.5,14.44,0.75,3,0.26811082259608343,0.00022978323451359656
oscillations_1_0.75_4,oscillations,1,-8.5,14.44,0.75,4,0.2705737930787935,-0.00019483791855856358
oscillations_1_0.75_5,oscillations,1,-8.5,14.44,0.75,5,0.26924234376888395,-0.0003243729624694575
oscillations_1_0.75_6,oscillations,1,-8.5,14.44,0.75,6,0.2745310374687013,-0.0003476043434000181
oscillations_1_0.75_7,oscillations,1,-8.5,14.44,0.75,7,0.2687397565007912,-0.0007091845420119497
oscillations_1_0.75_8,oscillations,1,-8.5,14.44,0.75,8,0.2674036671512433,-0.00031198693225120244
oscillations_1_0.75_9,oscillations,1,-8.5,14.44,0.75,9,0.27552725487397056,0.0004741156392768226
oscillations_1_0.75_10,oscillations,1,-8.5,14.44,0.75,10,0.27232934283916244,-0.000259708317953657
oscillations_1_0.75_11,oscillations,1,-8.5,14.44,0.75,11,0.27168236302719173,-0.00033192379820044316
oscillations_1_0.75_12,oscillations,1,-8.5,14.44,0.75,12,0.2753715278143412,0.00012352065608094853
oscillations_1_0.75_13,oscillations,1,-8.5,14.44,0.75,13,0.26483627057287457,0.00018686024760195715
oscillations_1_0.75_14,oscillations,1,-8.5,14.44,0.75,14,0.2694456518798431,-0.0005684992684734735
oscillations_1_0.75_15,oscillations,1,-8.5,14.44,0.75,15,0.26970941996076286,-0.0005058727887383421
oscillations_1_0.75_16,oscillations,1,-8.5,14.44,0.75,16,0.27280435940225567,-0.00012779859829862723
oscillations_1_0.75_17,oscillations,1,-8.5,14.44,0.75,17,0.27015715307794486,0.0002491521735910875
oscillations_1_0.75_18,oscillations,1,-8.5,14.44,0.75,18,0.2637701579084952,0.0001433346223309905
oscillations_1_0.75_19,oscillations,1,-8.5,14.44,0.75,19,0.2673210573926387,-0.00023352448127775212
oscillations_1_0.75_20,oscillations,1,-8.5,14.44,0.75,20,0.2754509183583095,-0.0006502805880905485
oscillations_1_0.75_21,oscillations,1,-8.5,14.44,0.75,21,0.2670899474515867,1.6744203977608585e-05
oscillations_1_0.75_22,oscillations,1,-8.5,14.44,0.75,22,0.27222642327248847,-0.00032911051877210245
oscillations_1_0.75_23,oscillations,1,-8.5,14.44,0.75,23,0.26469883003938294,-0.00021820889512175513
oscillations_1_0.75_24,oscillations,1,-8.5,14.44,0.75,24,0.2695408046504225,0.0004829168020222785
oscillations_1_0.75_25,oscillations,1,-8.5,14.44,0.75,25,0.2708394947842886,0.00019885779971657102
oscillations_1_0.75_26,oscillations,1,-8.5,14.44,0.75,26,0.27855930102069926,0.00017939725481828348
oscillations_1_0.75_27,oscillations,1,-8.5,14.44,0.75,27,0.2704052799499575,-0.0005583184918819308
oscillations_1_0.75_28,oscillations,1,-8.5,14.44,0.75,28,0.2637467793837042,-0.0001957051570250908
oscillations_1_0.75_29,oscillations,1,-8.5,14.44,0.75,29,0.27190293427898615,6.714441522122854e-05
oscillations_1_0.75_30,oscillations,1,-8.5,14.44,0.75,30,0.26579448468999184,0.00039767268455488105
oscillations_1_0.75_31,oscillations,1,-8.5,14.44,0.75,31,0.2698524983766154,-0.00012864097790126915
oscillations_1_0.75_32,oscillations,1,-8.5,14.44,0.75,32,0.268336987268195,-0.0005835237456426757
oscillations_1_0.75_33,oscillations,1,-8.5,14.44,0.75,33,0.2699298311426789,-0.00036902772767011033
oscillations_1_0.75_34,oscillations,1,-8.5,14.44,0.75,34,0.2664139732578205,0.0010732943180499983
oscillations_1_0.75_35,oscillations,1,-8.5,14.44,0.75,35,0.2829872238033236,-4.035479917083178e-05
oscillations_1_0.75_36,oscillations,1,-8.5,14.44,0.75,36,0.2779367467114315,0.0006019633272674543
oscillations_1_0.75_37,oscillations,1,-8.5,14.44,0.75,37,0.2669453440188472,-0.00014416890696838561
oscillations_1_0.75_38,oscillations,1,-8.5,14.44,0.75,38,0.2728579053837509,-0.0001488697376542724
oscillations_1_0.75_39,oscillations,1,-8.5,14.44,0.75,39,0.2684287528923754,0.000746800325848772
oscillations_1_0.75_40,oscillations,1,-8.5,14.44,0.75,40,0.2632025487531874,-7.811318830922557e-05
oscillations_1_0.75_41,oscillations,1,-8.5,14.44,0.75,41,0.2675421190514102,-0.00029538092156212905
oscillations_1_0.75_42,oscillations,1,-8.5,14.44,0.75,42,0.2697655259663091,-0.0006436224822527574
oscillations_1_0.75_43,oscillations,1,-8.5,14.44,0.75,43,0.2731447629414893,0.00038542968823163885
oscillations_1_0.75_44,oscillations,1,-8.5,14.44,0.75,44,0.27327478216334844,-0.0003305357419255158
oscillations_1_0.75_45,oscillations,1,-8.5,14.44,0.75,45,0.2710503425021094,-0.00014676345190170475
oscillations_1_0.75_46,oscillations,1,-8.5,14.44,0.75,46,0.26472578969505606,0.0012149708859850207
oscillations_1_0.75_47,oscillations,1,-8.5,14.44,0.75,47,0.27312838121402305,-5.7188799292496654e-06
oscillations_1_0.75_48,oscillations,1,-8.5,14.44,0.75,48,0.25977654032180014,-0.000210191699246389
oscillations_1_0.75_49,oscillations,1,-8.5,14.44,0.75,49,0.27255361311268794,0.00011199086658362179
oscillations_1_1_0,oscillations,1,,10.74,1.0,0,0.28837861726439884,-0.0003613547787812976
oscillations_1_1_1,oscillations,1,,10.74,1.0,1,0.29114968347027875,8.868881332323273e-05
oscillations_1_1_2,oscillations,1,,10.74,1.0,2,0.2877557488037971,7.035071992484144e-05
oscillations_1_1_3,oscillations,1,,10.74,1.0,3,0.28796778478389684,0.0005517995281939889
oscillations_1_1_4,oscillations,1,,10.74,1.0,4,0.29096900136948284,0.0003195169788545153
oscillations_1_1_5,oscillations,1,,10.74,1.0,5,0.2921337765960237,-0.00024912018085386175
oscillations_1_1_6,oscillations,1,,10.74,1.0,6,0.2848011222606951,-4.078222999247361e-06
oscillations_1_1_7,oscillations,1,,10.74,1.0,7,0.29346048253590523,-0.00014443541136774818
oscillations_1_1_8,oscillations,1,,10.74,1.0,8,0.28272438210408907,-0.00014089510852576562
oscillations_1_1_9,oscillations,1,,10.74,1.0,9,0.29498626361847347,-0.00012188794699860877
oscillations_1_1_10,oscillations,1,,10.74,1.0,10,0.2960278366122885,0.00012830702191580183
oscillations_1_1_11,oscillations,1,,10.74,1.0,11,0.28877636926850203,-1.5151446457325024e-05
oscillations_1_1_12,oscillations,1,,10.74,1.0,12,0.2854205692402554,7.622011928953544e-05
oscillations_1_1_13,oscillations,1,,10.74,1.0,13,0.28834305766214813,-0.0006618583903032601
oscillations_1_1_14,oscillations,1,,10.74,1.0,14,0.2904383218986036,-1.5572813829006328e-05
oscillations_1_1_15,oscillations,1,,10.74,1.0,15,0.2879243750533321,0.0004178945778777293
oscillations_1_1_16,oscillations,1,,10.74,1.0,16,0.28797676326622257,0.0003684111122341678
oscillations_1_1_17,oscillations,1,,10.74,1.0,17,0.2889163184901548,0.0003631752348940627
oscillations_1_1_18,oscillations,1,,10.74,1.0,18,0.29102476225657936,0.00024868554508785003
oscillations_1_1_19,oscillations,1,,10.74,1.0,19,0.2872589224440584,-0.0001246129344075006
oscillations_1_1_20,oscillations,1,,10.74,1.0,20,0.29119774136643967,-0.0005024928226848673
oscillations_1_1_21,oscillations,1,,10.74,1.0,21,0.28540158236630675,-0.0005434405629706961
oscillations_1_1_22,oscillations,1,,10.74,1.0,22,0.2943697407699029,-0.00024642223038076947
oscillations_1_1_23,oscillations,1,,10.74,1.0,23,0.28947049527687463,-1.6592288612274596e-05
oscillations_1_1_24,oscillations,1,,10.74,1.0,24,0.2883482436694637,-0.00017512151447019215
oscillations_1_1_25,oscillations,1,,10.74,1.0,25,0.2908344615648213,-7.65047166929171e-05
oscillations_1_1_26,oscillations,1,,10.74,1.0,26,0.2866432184267653,0.0007173330686549585
oscillations_1_1_27,oscillations,1,,10.74,1.0,27,0.2924050706734746,0.0001557829045013887
oscillations_1_1_28,oscillations,1,,10.74,1.0,28,0.2877190355352509,-2.23974082358394e-05
oscillations_1_1_29,oscillations,1,,10.74,1.0,29,0.3010090272890548,-0.00040739991329218566
oscillations_1_1_30,oscillations,1,,10.74,1.0,30,0.29778162370783995,-1.6684242375016722e-05
oscillations_1_1_31,oscillations,1,,10.74,1.0,31,0.2886774589642856,-0.00015827938485110597
oscillations_1_1_32,oscillations,1,,10.74,1.0,32,0.28423811411318045,0.00014187872278381407
oscillations_1_1_33,oscillations,1,,10.74,1.0,33,0.2856261023630653,-0.00013320972116406056
oscillations_1_1_34,oscillations,1,,10.74,1.0,34,0.28804354399884313,-0.00010361171826854517
oscillations_1_1_35,oscillations,1,,10.74,1.0,35,0.2827944769486589,0.0004354003032432881
oscillations_1_1_36,oscillations,1,,10.74,1.0,36,0.2870340655613381,-0.00017992816904381482
oscillations_1_1_37,oscillations,1,,10.74,1.0,37,0.2859023028395839,-0.00016720533869248519
oscillations_1_1_38,oscillations,1,,10.74,1.0,38,0.29530831419234793,-1.6310271316586044e-05
oscillations_1_1_39,oscillations,1,,10.74,1.0,39,0.28528347390415587,5.296507337991048e-05
oscillations_1_1_40,oscillations,1,,10.74,1.0,40,0.29122641740642186,0.00047764075969069993
oscillations_1_1_41,oscillations,1,,10.74,1.0,41,0.288567654974694,-0.0001653182044805817
oscillations_1_1_42,oscillations,1,,10.74,1.0,42,0.2933438136861021,1.769068968421301e-05
oscillations_1_1_43,oscillations,1,,10.74,1.0,43,0.28706114600897553,1.1373093225636621e-05
oscillations_1_1_44,oscillations,1,,10.74,1.0,44,0.29438811145635313,0.0002078430837777665
oscillations_1_1_45,oscillations,1,,10.74,1.0,45,0.29061656900680916,-0.0002810905460635775
oscillations_1_1_46,oscillations,1,,10.74,1.0,46,0.29055772683768244,-0.0003498733694008938
oscillations_1_1_47,oscillations,1,,10.74,1.0,47,0.28719133895261373,0.0003440881537544854
oscillations_1_1_48,oscillations,1,,10.74,1.0,48,0.2843254758697171,9.733350847467275e-05
