dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all,mean_all_filtered,std_all_filtered
sequences,0.75,28,10,-12.3,10.68,q2,"(150, 50)",0.046580674765614914,0.20575191095926645,0.019355238908725887,0.2052485389686587,0.06489058388643328,0.3718608571558512
sequences,0.75,28,10,-12.3,10.68,q3,"(50, 150)",0.005860816623190883,0.20022801909148255,0.019355238908725887,0.2052485389686587,0.06489058388643328,0.3718608571558512
sequences,0.75,28,10,-12.3,10.68,q4,"(50, 50)",0.05641517686512125,0.21802479741598707,0.019355238908725887,0.2052485389686587,0.06489058388643328,0.3718608571558512
sequences,0.75,29,10,-12.3,10.68,q1,"(150, 150)",0.01080057994937043,0.19494317846206685,0.019560465062959196,0.19824339772761682,0.06555664872378449,0.35874724073740355
sequences,0.75,29,10,-12.3,10.68,q2,"(150, 50)",0.04688912552522021,0.20586730057795335,0.019560465062959196,0.19824339772761682,0.06555664872378449,0.35874724073740355
sequences,0.75,29,10,-12.3,10.68,q3,"(50, 150)",0.007125895659102557,0.1943780265881743,0.019560465062959196,0.19824339772761682,0.06555664872378449,0.35874724073740355
sequences,0.75,29,10,-12.3,10.68,q4,"(50, 50)",0.05371715791004493,0.20427266060552618,0.019560465062959196,0.19824339772761682,0.06555664872378449,0.35874724073740355
sequences,0.75,30,10,-12.3,10.68,q1,"(150, 150)",0.011424373661352604,0.2027388815852093,0.019607708185509956,0.20318024902018228,0.06563249601844337,0.36764442063769376
sequences,0.75,30,10,-12.3,10.68,q2,"(150, 50)",0.045142090616317423,0.20381663962907914,0.019607708185509956,0.20318024902018228,0.06563249601844337,0.36764442063769376
sequences,0.75,30,10,-12.3,10.68,q3,"(50, 150)",0.007179632825950329,0.1958306733694128,0.019607708185509956,0.20318024902018228,0.06563249601844337,0.36764442063769376
sequences,0.75,30,10,-12.3,10.68,q4,"(50, 50)",0.05393879768918255,0.2161355899312317,0.019607708185509956,0.20318024902018228,0.06563249601844337,0.36764442063769376
sequences,0.75,31,10,-12.3,10.68,q1,"(150, 150)",0.009392953760671726,0.20716458149036174,0.019181465552565502,0.20718670472253423,0.06425413467068251,0.3753646950134785
sequences,0.75,31,10,-12.3,10.68,q2,"(150, 50)",0.04964960989529853,0.20260408314831255,0.019181465552565502,0.20718670472253423,0.06425413467068251,0.3753646950134785
sequences,0.75,31,10,-12.3,10.68,q3,"(50, 150)",0.0050895412120340565,0.20789962219885924,0.019181465552565502,0.20718670472253423,0.06425413467068251,0.3753646950134785
sequences,0.75,31,10,-12.3,10.68,q4,"(50, 50)",0.05814941167300471,0.20492268591048668,0.019181465552565502,0.20718670472253423,0.06425413467068251,0.3753646950134785
sequences,0.75,32,10,-12.3,10.68,q1,"(150, 150)",0.012461183270009332,0.20287445039837598,0.019753792186652935,0.2030953835081946,0.06615469586956776,0.367515239709875
sequences,0.75,32,10,-12.3,10.68,q2,"(150, 50)",0.04282202324442617,0.20105890071249038,0.019753792186652935,0.2030953835081946,0.06615469586956776,0.367515239709875
sequences,0.75,32,10,-12.3,10.68,q3,"(50, 150)",0.006973487620161558,0.20174193445628497,0.019753792186652935,0.2030953835081946,0.06615469586956776,0.367515239709875
sequences,0.75,32,10,-12.3,10.68,q4,"(50, 50)",0.0545234929625998,0.20589777656311647,0.019753792186652935,0.2030953835081946,0.06615469586956776,0.367515239709875
sequences,0.75,33,10,-12.3,10.68,q1,"(150, 150)",0.01151408455029185,0.19527321701531397,0.01986113809075211,0.1911672399003295,0.06651976250775221,0.3453897037941759
sequences,0.75,33,10,-12.3,10.68,q2,"(150, 50)",0.045380838133255004,0.17817327206217257,0.01986113809075211,0.1911672399003295,0.06651976250775221,0.3453897037941759
sequences,0.75,33,10,-12.3,10.68,q3,"(50, 150)",0.011467427564439244,0.1945927826307891,0.01986113809075211,0.1911672399003295,0.06651976250775221,0.3453897037941759
sequences,0.75,33,10,-12.3,10.68,q4,"(50, 50)",0.04360665140632443,0.17129424657678094,0.01986113809075211,0.1911672399003295,0.06651976250775221,0.3453897037941759
sequences,0.75,34,10,-12.3,10.68,q1,"(150, 150)",0.01032429704034674,0.20425926658568672,0.019519742731148135,0.20289548751004735,0.06543113292934931,0.36740761114261444
sequences,0.75,34,10,-12.3,10.68,q2,"(150, 50)",0.04812643422437592,0.19714595469212434,0.019519742731148135,0.20289548751004735,0.06543113292934931,0.36740761114261444
sequences,0.75,34,10,-12.3,10.68,q3,"(50, 150)",0.0061742211999190584,0.1986285740448627,0.019519742731148135,0.20289548751004735,0.06543113292934931,0.36740761114261444
sequences,0.75,34,10,-12.3,10.68,q4,"(50, 50)",0.05649524406236453,0.20758512759608785,0.019519742731148135,0.20289548751004735,0.06543113292934931,0.36740761114261444
sequences,0.75,35,10,-12.3,10.68,q1,"(150, 150)",0.007736657452312968,0.20441190167047746,0.01897941622791135,0.20680560187626512,0.06363059669067589,0.3748935137981207
sequences,0.75,35,10,-12.3,10.68,q2,"(150, 50)",0.05383502580884123,0.21021093570730678,0.01897941622791135,0.20680560187626512,0.06363059669067589,0.3748935137981207
sequences,0.75,35,10,-12.3,10.68,q3,"(50, 150)",0.003099959270008775,0.2031942036366861,0.01897941622791135,0.20680560187626512,0.06363059669067589,0.3748935137981207
