simulationID,dynamic,simulation,vrest,slope,pqif,seed,std,mean,mean_filtered,std_filtered,num_zero_weights,num_non_zero_weights,frac_zero_weights
sequences_11_0.75_42,sequences,11,-17.0,8.65,0.75,42,0.20239617109106023,0.021095852393564395,0.07068471232556339,0.3657203184465067,28062,11938,0.70
sequences_11_0.75_43,sequences,11,-17.0,8.65,0.75,43,0.20601592075558695,0.020946524104691572,0.07019024580612071,0.37251232803108414,28063,11937,0.70
sequences_11_0.75_44,sequences,11,-17.0,8.65,0.75,44,0.20805295175003294,0.021005048144511283,0.07029801922527204,0.37603329083181236,28048,11952,0.70
sequences_11_0.75_45,sequences,11,-17.0,8.65,0.75,45,0.20208671731818997,0.021271378757443338,0.07130867836890158,0.36515454855796975,28068,11932,0.70
sequences_11_0.75_46,sequences,11,-17.0,8.65,0.75,46,0.1991661385350644,0.021351498838047513,0.07159526812992711,0.3597410184095079,28071,11929,0.70
sequences_11_0.75_47,sequences,11,-17.0,8.65,0.75,47,0.19566450366056123,0.021374532298482848,0.07159448098637698,0.35304342311986736,28058,11942,0.70
sequences_11_0.75_48,sequences,11,-17.0,8.65,0.75,48,0.20353385670611315,0.02107069613085707,0.07058859675329003,0.36781146483448496,28060,11940,0.70
sequences_11_0.75_49,sequences,11,-17.0,8.65,0.75,49,0.2041874521086955,0.02124057105042872,0.07116961316947135,0.36897613510842286,28062,11938,0.70
sequences_11_1_0,sequences,11,,10.74,1.0,0,0.19626647995721128,0.02229110619449545,0.07472714111463442,0.35385750266028737,28068,11932,0.70
sequences_11_1_1,sequences,11,,10.74,1.0,1,0.19689515755143544,0.022286823847447287,0.07461273467508298,0.35480122978170386,28052,11948,0.70
sequences_11_1_2,sequences,11,,10.74,1.0,2,0.20152442931799314,0.022247049127122595,0.07461696839551432,0.363738850713459,28074,11926,0.70
sequences_11_1_3,sequences,11,,10.74,1.0,3,0.2147722167159293,0.02144480338526265,0.07176975697879066,0.3882817344155543,28048,11952,0.70
sequences_11_1_4,sequences,11,,10.74,1.0,4,0.2141786943491208,0.021941523067775807,0.07357372141093405,0.3873237620893448,28071,11929,0.70
sequences_11_1_5,sequences,11,,10.74,1.0,5,0.20936423193003903,0.021652559675596858,0.07250145546826338,0.37826594604449537,28054,11946,0.70
sequences_11_1_6,sequences,11,,10.74,1.0,6,0.20332159780003167,0.021833053104286355,0.07311194007295556,0.36699358929320497,28055,11945,0.70
sequences_11_1_7,sequences,11,,10.74,1.0,7,0.20455320829723303,0.022108627148973766,0.07408436675537829,0.3692680509427634,28063,11937,0.70
sequences_11_1_8,sequences,11,,10.74,1.0,8,0.2099366770774586,0.021909464670157194,0.0733862491045292,0.37927192541706733,28058,11942,0.70
sequences_11_1_9,sequences,11,,10.74,1.0,9,0.18474249931069836,0.0224969291414462,0.07530352850693289,0.33206242659265417,28050,11950,0.70
sequences_11_1_10,sequences,11,,10.74,1.0,10,0.2149230911858974,0.021546249712213517,0.07215756768993141,0.3886425576376464,28056,11944,0.70
sequences_11_1_11,sequences,11,,10.74,1.0,11,0.18999048073288233,0.02213151138801158,0.07408037284690067,0.34201801293501644,28050,11950,0.70
sequences_11_1_12,sequences,11,,10.74,1.0,12,0.20044119803106306,0.02180455078767105,0.07309604689128746,0.361851154829294,28068,11932,0.70
sequences_11_1_13,sequences,11,,10.74,1.0,13,0.19834404839522402,0.021934485214843716,0.07345775356612096,0.3577213794064391,28056,11944,0.70
sequences_11_1_14,sequences,11,,10.74,1.0,14,0.19907482432163687,0.022156449178067323,0.07416384662114583,0.35888477385502005,28050,11950,0.70
sequences_11_1_15,sequences,11,,10.74,1.0,15,0.21337758609472546,0.021687380165016167,0.07263020818826581,0.3857178039429896,28056,11944,0.70
sequences_11_1_16,sequences,11,,10.74,1.0,16,0.21347478533309253,0.021870497708929258,0.07325572838361834,0.3858477124731833,28058,11942,0.70
sequences_11_1_17,sequences,11,,10.74,1.0,17,0.20576273581625462,0.021980095802323747,0.07365366776350421,0.3715730893628608,28063,11937,0.70
sequences_11_1_18,sequences,11,,10.74,1.0,18,0.2014908747623791,0.022187924859150398,0.07440618665040374,0.3636757983836839,28072,11928,0.70
sequences_11_1_19,sequences,11,,10.74,1.0,19,0.19838141752968064,0.022159470002411724,0.07422364763829081,0.357710355133447,28058,11942,0.70
sequences_11_1_20,sequences,11,,10.74,1.0,20,0.1908449566396452,0.022321387640019542,0.07477225572404167,0.34363350240526436,28059,11941,0.70
sequences_11_1_21,sequences,11,,10.74,1.0,21,0.20250684006371705,0.022155139508017556,0.07427133593033039,0.3655202101621338,28068,11932,0.70
sequences_11_1_22,sequences,11,,10.74,1.0,22,0.18960351369810505,0.022455244387424817,0.0752710781443889,0.34136337407849354,28067,11933,0.70
sequences_11_1_23,sequences,11,,10.74,1.0,23,0.203468919293981,0.022017663566289723,0.07380428581677607,0.3673573388032828,28067,11933,0.70
sequences_11_1_24,sequences,11,,10.74,1.0,24,0.20121346845486443,0.022165713723559674,0.07429433123365066,0.3630836032512367,28066,11934,0.70
sequences_11_1_25,sequences,11,,10.74,1.0,25,0.21174176023402053,0.021840513454005568,0.0732043353578199,0.38277282467070717,28066,11934,0.70
sequences_11_1_26,sequences,11,,10.74,1.0,26,0.20367031717570666,0.02184396631862948,0.0731791166453249,0.367709351046108,28060,11940,0.70
sequences_11_1_27,sequences,11,,10.74,1.0,27,0.21640704723866278,0.02151792691029396,0.07218358574402536,0.3917198599484028,28076,11924,0.70
sequences_11_1_28,sequences,11,,10.74,1.0,28,0.20396694756434464,0.02201278906822695,0.0737138185625013,0.36810663205618205,28055,11945,0.70
sequences_11_1_29,sequences,11,,10.74,1.0,29,0.19994129322687235,0.022214001209018785,0.07438761392722909,0.36053788030544853,28055,11945,0.70
sequences_11_1_30,sequences,11,,10.74,1.0,30,0.21384306259191585,0.022082788836438248,0.07410331824308138,0.3867785427298845,28080,11920,0.70
sequences_11_1_31,sequences,11,,10.74,1.0,31,0.19874203906769528,0.021866010120296472,0.07327137512037019,0.35859399775809825,28063,11937,0.70
sequences_11_1_32,sequences,11,,10.74,1.0,32,0.21273305063815215,0.021899687725921796,0.07331666463314963,0.38436698814102027,28052,11948,0.70
sequences_11_1_33,sequences,11,,10.74,1.0,33,0.2079414217768575,0.021789286566520447,0.07300204897066907,0.3756725898269371,28061,11939,0.70
sequences_11_1_34,sequences,11,,10.74,1.0,34,0.20301358807100198,0.021789394407374523,0.07292910855116568,0.3663542340206834,28049,11951,0.70
sequences_11_1_35,sequences,11,,10.74,1.0,35,0.1978708126557975,0.02160974905093705,0.07246730064029863,0.3572279422571684,28072,11928,0.70
sequences_11_1_36,sequences,11,,10.74,1.0,36,0.2009335798032625,0.022082974970920887,0.07395504009015702,0.3624579980139769,28056,11944,0.70
sequences_11_1_37,sequences,11,,10.74,1.0,37,0.21191493453674534,0.021583287345380398,0.07225135942884056,0.38297676912992223,28051,11949,0.70
sequences_11_1_38,sequences,11,,10.74,1.0,38,0.19895375329281734,0.021780222837594794,0.0729655706452087,0.3589850184116118,28060,11940,0.70
sequences_11_1_39,sequences,11,,10.74,1.0,39,0.20176846563953588,0.02163288374839616,0.07249625921044289,0.36433766082147695,28064,11936,0.70
sequences_11_1_40,sequences,11,,10.74,1.0,40,0.20658088862921142,0.021872383074947335,0.07328659096983527,0.37312601976424176,28062,11938,0.70
sequences_11_1_41,sequences,11,,10.74,1.0,41,0.2111802140182103,0.021675920880948458,0.0726831113452878,0.38188266511461266,28071,11929,0.70
sequences_11_1_42,sequences,11,,10.74,1.0,42,0.211033695014246,0.021854018225753374,0.07318214558644913,0.38128462378952793,28055,11945,0.70
sequences_11_1_43,sequences,11,,10.74,1.0,43,0.20964835604580453,0.021701055226198012,0.07273690372447801,0.3789540500279913,28066,11934,0.70
sequences_11_1_44,sequences,11,,10.74,1.0,44,0.19246008460865252,0.022416672139989838,0.07506001051394556,0.346520315687671,28054,11946,0.70
sequences_11_1_45,sequences,11,,10.74,1.0,45,0.20981747357301134,0.02190441474158573,0.07336319096235697,0.37903793673166214,28057,11943,0.70
sequences_11_1_46,sequences,11,,10.74,1.0,46,0.2043404786141269,0.021867684432667154,0.0732463052509367,0.3689120903535328,28058,11942,0.70
sequences_11_1_47,sequences,11,,10.74,1.0,47,0.2037369241662512,0.02223281155685322,0.07453171825964874,0.3677676472237953,28068,11932,0.70
sequences_11_1_48,sequences,11,,10.74,1.0,48,0.2117472553675342,0.021860061567481902,0.07324530597246408,0.3827124342579818,28062,11938,0.70
sequences_11_1_49,sequences,11,,10.74,1.0,49,0.21007844398210906,0.02150798963875573,0.07206563792513229,0.37977676052996706,28062,11938,0.70
sequences_12_0_0,sequences,12,-22.0,7.18,0.0,0,0.24312653062758732,0.021891474622857753,0.07339359524887354,0.44090204215102285,28069,11931,0.70
sequences_12_0_1,sequences,12,-22.0,7.18,0.0,1,0.2421196841531595,0.022148624051598727,0.07415627036611276,0.43865322565323056,28053,11947,0.70
sequences_12_0_2,sequences,12,-22.0,7.18,0.0,2,0.2516892874809047,0.02181347856043078,0.07299750208460062,0.4563466967644616,28047,11953,0.70
sequences_12_0_3,sequences,12,-22.0,7.18,0.0,3,0.250080830513589,0.0219239418025237,0.07345319307320111,0.45359476594279163,28061,11939,0.70
sequences_12_0_4,sequences,12,-22.0,7.18,0.0,4,0.24541559199501695,0.021959049469177417,0.0735338617636749,0.44485347412832377,28055,11945,0.70
sequences_12_0_5,sequences,12,-22.0,7.18,0.0,5,0.24484794459149212,0.022023770230414276,0.0737752959732494,0.4438518289421081,28059,11941,0.70
sequences_12_0_6,sequences,12,-22.0,7.18,0.0,6,0.24907801991609052,0.0220590936973591,0.07389362263582314,0.4516537173480362,28059,11941,0.70
sequences_12_0_7,sequences,12,-22.0,7.18,0.0,7,0.24677184785205714,0.02211790564295881,0.0741092499345244,0.44742484726731213,28062,11938,0.70
sequences_12_0_8,sequences,12,-22.0,7.18,0.0,8,0.23856853118182464,0.022181785479264107,0.07430461595934715,0.43218155307629164,28059,11941,0.70
sequences_12_0_9,sequences,12,-22.0,7.18,0.0,9,0.2496168596813167,0.02193527105274008,0.07344808656534432,0.452604232431024,28054,11946,0.70
sequences_12_0_10,sequences,12,-22.0,7.18,0.0,10,0.25225951287979953,0.0219627735442745,0.07358945734385827,0.4576228271686106,28062,11938,0.70
sequences_12_0_11,sequences,12,-22.0,7.18,0.0,11,0.2540774521127942,0.021888937226492763,0.07333591498950587,0.4609891948770484,28061,11939,0.70
sequences_12_0_12,sequences,12,-22.0,7.18,0.0,12,0.25075646999096884,0.022170124741743957,0.07427799561686559,0.4547487724934214,28061,11939,0.70
sequences_12_0_13,sequences,12,-22.0,7.18,0.0,13,0.24494237343915254,0.021985750955898904,0.07362944057568287,0.4439869185194684,28056,11944,0.70
sequences_12_0_14,sequences,12,-22.0,7.18,0.0,14,0.24608361037612897,0.02194629465290616,0.07353424242890322,0.4462196865774678,28062,11938,0.70
sequences_12_0_15,sequences,12,-22.0,7.18,0.0,15,0.25208372261508316,0.021941824792052728,0.07349464006716706,0.4572314447797485,28058,11942,0.70
sequences_12_0_16,sequences,12,-22.0,7.18,0.0,16,0.24479474338597723,0.022168190121431983,0.0742466386048128,0.4436607982843954,28057,11943,0.70
sequences_12_0_17,sequences,12,-22.0,7.18,0.0,17,0.24719873947617405,0.02192310828968539,0.07349349074651487,0.448398774168024,28068,11932,0.70
sequences_12_0_18,sequences,12,-22.0,7.18,0.0,18,0.24305338975962837,0.022152080980532854,0.07422375935846157,0.4405385692363844,28062,11938,0.70
sequences_12_0_19,sequences,12,-22.0,7.18,0.0,19,0.24627064136203244,0.021969521695782267,0.0736552567120351,0.4466837093139918,28069,11931,0.70
sequences_12_0_20,sequences,12,-22.0,7.18,0.0,20,0.2444608804210664,0.022075829803160876,0.07391873364527331,0.44302601202192665,28054,11946,0.70
sequences_12_0_21,sequences,12,-22.0,7.18,0.0,21,0.24236282830289374,0.021913968233741112,0.07337675618195584,0.4392129798435154,28054,11946,0.70
sequences_12_0_22,sequences,12,-22.0,7.18,0.0,22,0.2509635749904892,0.02180642478524011,0.07303499886206184,0.4551954453776697,28057,11943,0.70
sequences_12_0_23,sequences,12,-22.0,7.18,0.0,23,0.24928589460327075,0.021994585259325312,0.07368987439258,0.45209933036777666,28061,11939,0.70
sequences_12_0_24,sequences,12,-22.0,7.18,0.0,24,0.25186850718352966,0.02212167199538099,0.07414671357593762,0.4569147854739927,28066,11934,0.70
sequences_12_0_25,sequences,12,-22.0,7.18,0.0,25,0.24753685950052706,0.022239153840730747,0.07451550960204639,0.4487913624698664,28062,11938,0.70
sequences_12_0_26,sequences,12,-22.0,7.18,0.0,26,0.24710639817672428,0.021923208713691345,0.07346304335659326,0.4481367173564375,28063,11937,0.70
sequences_12_0_27,sequences,12,-22.0,7.18,0.0,27,0.24415056226225076,0.021864369914911818,0.0732352031984988,0.4426072860722234,28058,11942,0.70
sequences_12_0_28,sequences,12,-22.0,7.18,0.0,28,0.25142793386369566,0.021760407702614157,0.0729052942545076,0.45614462590021343,28061,11939,0.70
sequences_12_0_29,sequences,12,-22.0,7.18,0.0,29,0.2447269235472616,0.02207142334054772,0.07397209330723996,0.4437179456035731,28065,11935,0.70
sequences_12_0_30,sequences,12,-22.0,7.18,0.0,30,0.2395822756623084,0.02195644873088992,0.07359909069266712,0.4342875093733221,28067,11933,0.70
