dyn,pqif,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights
sequences,0.25,27,10,-12.3,10.68,q2,"(50, 150)",2228,0.09069626554316489,0.32761703748712795,0.060107136410200206,0.36065228105384906,28050,11950,0.70
sequences,0.25,27,10,-12.3,10.68,q3,"(150, 50)",2323,-0.008231626357671622,0.4405884930830163,0.060107136410200206,0.36065228105384906,28050,11950,0.70
sequences,0.25,27,10,-12.3,10.68,q4,"(150, 150)",6651,0.08266886714791441,0.3190257332546847,0.060107136410200206,0.36065228105384906,28050,11950,0.70
sequences,0.25,28,10,-12.3,10.68,q1,"(50, 50)",709,0.00501748126485865,0.4792637102297589,0.060287363449280026,0.3646313916783507,28058,11942,0.70
sequences,0.25,28,10,-12.3,10.68,q2,"(50, 150)",2218,0.08470416174342421,0.34206974283572045,0.060287363449280026,0.3646313916783507,28058,11942,0.70
sequences,0.25,28,10,-12.3,10.68,q3,"(150, 50)",2233,-0.00936139149184186,0.4516266172141124,0.060287363449280026,0.3646313916783507,28058,11942,0.70
sequences,0.25,28,10,-12.3,10.68,q4,"(150, 150)",6782,0.08101215814640006,0.3195870687764634,0.060287363449280026,0.3646313916783507,28058,11942,0.70
sequences,0.25,29,10,-12.3,10.68,q1,"(50, 50)",706,-0.004244179359149825,0.5491563222777278,0.06020791746236342,0.3751217419115498,28048,11952,0.70
sequences,0.25,29,10,-12.3,10.68,q2,"(50, 150)",2280,0.08475517264686382,0.3199835630353389,0.06020791746236342,0.3751217419115498,28048,11952,0.70
sequences,0.25,29,10,-12.3,10.68,q3,"(150, 50)",2257,-0.011836569999171478,0.5031425573336851,0.06020791746236342,0.3751217419115498,28048,11952,0.70
sequences,0.25,29,10,-12.3,10.68,q4,"(150, 150)",6709,0.08288489566120255,0.30997878537508716,0.06020791746236342,0.3751217419115498,28048,11952,0.70
sequences,0.25,30,10,-12.3,10.68,q1,"(50, 50)",762,-0.014935149686739292,0.49925759204763126,0.06011053783952542,0.37937883648861576,28072,11928,0.70
sequences,0.25,30,10,-12.3,10.68,q2,"(50, 150)",2249,0.0886893753157993,0.33675685404745015,0.06011053783952542,0.37937883648861576,28072,11928,0.70
sequences,0.25,30,10,-12.3,10.68,q3,"(150, 50)",2249,-0.004598277567957982,0.4901462995816759,0.06011053783952542,0.37937883648861576,28072,11928,0.70
sequences,0.25,30,10,-12.3,10.68,q4,"(150, 150)",6668,0.08087255557532384,0.32701470270711575,0.06011053783952542,0.37937883648861576,28072,11928,0.70
sequences,0.25,31,10,-12.3,10.68,q1,"(50, 50)",777,-0.010376366089741785,0.4861039304505944,0.06121913424063923,0.3605814292850689,28063,11937,0.70
sequences,0.25,31,10,-12.3,10.68,q2,"(50, 150)",2222,0.08918397775244502,0.3136130860863224,0.06121913424063923,0.3605814292850689,28063,11937,0.70
sequences,0.25,31,10,-12.3,10.68,q3,"(150, 50)",2281,0.013469431184423283,0.4749771915916009,0.06121913424063923,0.3605814292850689,28063,11937,0.70
sequences,0.25,31,10,-12.3,10.68,q4,"(150, 150)",6657,0.07660277464092498,0.30586745885466626,0.06121913424063923,0.3605814292850689,28063,11937,0.70
sequences,0.25,32,10,-12.3,10.68,q1,"(50, 50)",729,0.015422096075675013,0.5164542041651898,0.06170335056282568,0.3592825719505721,28048,11952,0.70
sequences,0.25,32,10,-12.3,10.68,q2,"(50, 150)",2181,0.08388636511276064,0.31533364969952354,0.06170335056282568,0.3592825719505721,28048,11952,0.70
sequences,0.25,32,10,-12.3,10.68,q3,"(150, 50)",2241,0.020272367644828752,0.48353081087758504,0.06170335056282568,0.3592825719505721,28048,11952,0.70
sequences,0.25,32,10,-12.3,10.68,q4,"(150, 150)",6801,0.07320235254885063,0.2970643878677245,0.06170335056282568,0.3592825719505721,28048,11952,0.70
sequences,0.25,33,10,-12.3,10.68,q1,"(50, 50)",741,0.012121328400326859,0.48254233648956707,0.06123132355347377,0.3588427535905286,28055,11945,0.70
sequences,0.25,33,10,-12.3,10.68,q2,"(50, 150)",2277,0.08085198397636824,0.32077379970678094,0.06123132355347377,0.3588427535905286,28055,11945,0.70
sequences,0.25,33,10,-12.3,10.68,q3,"(150, 50)",2259,0.008485744204169865,0.4576552229372744,0.06123132355347377,0.3588427535905286,28055,11945,0.70
sequences,0.25,33,10,-12.3,10.68,q4,"(150, 150)",6668,0.07785797717909296,0.31158547686378735,0.06123132355347377,0.3588427535905286,28055,11945,0.70
sequences,0.25,34,10,-12.3,10.68,q1,"(50, 50)",767,-0.019249312531296026,0.5402301256172838,0.06095128172158788,0.3856786788483062,28071,11929,0.70
sequences,0.25,34,10,-12.3,10.68,q2,"(50, 150)",2204,0.09187083966785646,0.3311527027588352,0.06095128172158788,0.3856786788483062,28071,11929,0.70
sequences,0.25,34,10,-12.3,10.68,q3,"(150, 50)",2205,0.012997166328164712,0.5255937332160736,0.06095128172158788,0.3856786788483062,28071,11929,0.70
sequences,0.25,34,10,-12.3,10.68,q4,"(150, 150)",6753,0.0756271257199418,0.31876457819424786,0.06095128172158788,0.3856786788483062,28071,11929,0.70
sequences,0.25,35,10,-12.3,10.68,q1,"(50, 50)",739,0.012046018220874682,0.4878821928221049,0.061366651692383097,0.3652530305593363,28060,11940,0.70
sequences,0.25,35,10,-12.3,10.68,q2,"(50, 150)",2254,0.08200589980414558,0.3289950643972181,0.061366651692383097,0.3652530305593363,28060,11940,0.70
sequences,0.25,35,10,-12.3,10.68,q3,"(150, 50)",2215,0.0007499872374157489,0.4726696843796714,0.061366651692383097,0.3652530305593363,28060,11940,0.70
sequences,0.25,35,10,-12.3,10.68,q4,"(150, 150)",6732,0.07981480895014968,0.314292598890581,0.061366651692383097,0.3652530305593363,28060,11940,0.70
sequences,0.25,36,10,-12.3,10.68,q1,"(50, 50)",727,-0.015075458483180199,0.4968151446590278,0.06090698985407405,0.36134251354348296,28058,11942,0.70
sequences,0.25,36,10,-12.3,10.68,q2,"(50, 150)",2266,0.08791985221094753,0.3221940411468409,0.06090698985407405,0.36134251354348296,28058,11942,0.70
sequences,0.25,36,10,-12.3,10.68,q3,"(150, 50)",2201,0.015256192674839901,0.46638555941505216,0.06090698985407405,0.36134251354348296,28058,11942,0.70
sequences,0.25,36,10,-12.3,10.68,q4,"(150, 150)",6748,0.07491195405561568,0.3113307013662537,0.06090698985407405,0.36134251354348296,28058,11942,0.70
sequences,0.25,37,10,-12.3,10.68,q1,"(50, 50)",732,-0.0026565853662482495,0.4816551881516709,0.06025996935479564,0.3679154617703082,28070,11930,0.70
sequences,0.25,37,10,-12.3,10.68,q2,"(50, 150)",2251,0.08553926594644895,0.34234108660210544,0.06025996935479564,0.3679154617703082,28070,11930,0.70
sequences,0.25,37,10,-12.3,10.68,q3,"(150, 50)",2226,-0.01621192696126791,0.4562595599174617,0.06025996935479564,0.3679154617703082,28070,11930,0.70
sequences,0.25,37,10,-12.3,10.68,q4,"(150, 150)",6721,0.0839733546587013,0.3219655686125651,0.06025996935479564,0.3679154617703082,28070,11930,0.70
sequences,0.25,38,10,-12.3,10.68,q1,"(50, 50)",713,0.01965824527700137,0.4841720757547062,0.061113370073980065,0.3555204248019943,28059,11941,0.70
sequences,0.25,38,10,-12.3,10.68,q2,"(50, 150)",2284,0.07888966752718736,0.32540052404066194,0.061113370073980065,0.3555204248019943,28059,11941,0.70
sequences,0.25,38,10,-12.3,10.68,q3,"(150, 50)",2280,0.0018558139091337548,0.44936039611898415,0.061113370073980065,0.3555204248019943,28059,11941,0.70
sequences,0.25,38,10,-12.3,10.68,q4,"(150, 150)",6664,0.07973036717076425,0.3068942836060381,0.061113370073980065,0.3555204248019943,28059,11941,0.70
sequences,0.25,39,10,-12.3,10.68,q1,"(50, 50)",735,0.0014348343540902468,0.4938501607276464,0.060205302075432836,0.3704685868894802,28061,11939,0.70
sequences,0.25,39,10,-12.3,10.68,q2,"(50, 150)",2207,0.08576392926487068,0.34226979559119647,0.060205302075432836,0.3704685868894802,28061,11939,0.70
sequences,0.25,39,10,-12.3,10.68,q3,"(150, 50)",2213,-0.0023580692515845006,0.4601105742224692,0.060205302075432836,0.3704685868894802,28061,11939,0.70
sequences,0.25,39,10,-12.3,10.68,q4,"(150, 150)",6784,0.07866655565957005,0.32517603652105126,0.060205302075432836,0.3704685868894802,28061,11939,0.70
sequences,0.25,40,10,-12.3,10.68,q1,"(50, 50)",725,-0.006895112604233218,0.5258109417437904,0.06063830244544321,0.3838092870623478,28057,11943,0.70
sequences,0.25,40,10,-12.3,10.68,q2,"(50, 150)",2315,0.08410344847733996,0.3405859613375304,0.06063830244544321,0.3838092870623478,28057,11943,0.70
sequences,0.25,40,10,-12.3,10.68,q3,"(150, 50)",2237,0.004679978172384607,0.5029696170235877,0.06063830244544321,0.3838092870623478,28057,11943,0.70
sequences,0.25,40,10,-12.3,10.68,q4,"(150, 150)",6666,0.07861290254235388,0.3265165325046196,0.06063830244544321,0.3838092870623478,28057,11943,0.70
sequences,0.25,41,10,-12.3,10.68,q1,"(50, 50)",768,0.00026331104022338236,0.45482604292436785,0.0623779853414798,0.3467646610352992,28070,11930,0.70
sequences,0.25,41,10,-12.3,10.68,q2,"(50, 150)",2321,0.08308274460811206,0.30508049723127123,0.0623779853414798,0.3467646610352992,28070,11930,0.70
sequences,0.25,41,10,-12.3,10.68,q3,"(150, 50)",2230,0.0275912909558081,0.44324068217442797,0.0623779853414798,0.3467646610352992,28070,11930,0.70
sequences,0.25,41,10,-12.3,10.68,q4,"(150, 150)",6611,0.07405891894994439,0.3047457229654127,0.0623779853414798,0.3467646610352992,28070,11930,0.70
sequences,0.25,42,10,-12.3,10.68,q1,"(50, 50)",712,0.009499521460858603,0.4884452681052697,0.06273163551685401,0.3604673749846188,28068,11932,0.70
sequences,0.25,42,10,-12.3,10.68,q2,"(50, 150)",2276,0.0823421388727603,0.32250666659190874,0.06273163551685401,0.3604673749846188,28068,11932,0.70
sequences,0.25,42,10,-12.3,10.68,q3,"(150, 50)",2223,0.038617587310497595,0.4673863393759536,0.06273163551685401,0.3604673749846188,28068,11932,0.70
sequences,0.25,42,10,-12.3,10.68,q4,"(150, 150)",6721,0.069705789472003,0.3118648198815789,0.06273163551685401,0.3604673749846188,28068,11932,0.70
sequences,0.25,43,10,-12.3,10.68,q1,"(50, 50)",778,0.007344148078694351,0.48397933095152895,0.05983063231248559,0.3702735572810716,28050,11950,0.70
sequences,0.25,43,10,-12.3,10.68,q2,"(50, 150)",2288,0.0809403862663569,0.3301706480185658,0.05983063231248559,0.3702735572810716,28050,11950,0.70
sequences,0.25,43,10,-12.3,10.68,q3,"(150, 50)",2219,-0.01875607090615818,0.47934833973492635,0.05983063231248559,0.3702735572810716,28050,11950,0.70
sequences,0.25,43,10,-12.3,10.68,q4,"(150, 150)",6665,0.08487478266951523,0.31842650537124234,0.05983063231248559,0.3702735572810716,28050,11950,0.70
sequences,0.25,44,10,-12.3,10.68,q1,"(50, 50)",713,-0.020434375818254694,0.46832680469745086,0.060650497438227355,0.35518964402566966,28075,11925,0.70
sequences,0.25,44,10,-12.3,10.68,q2,"(50, 150)",2298,0.08869425030137562,0.3281732062382123,0.060650497438227355,0.35518964402566966,28075,11925,0.70
sequences,0.25,44,10,-12.3,10.68,q3,"(150, 50)",2231,0.00407831601692419,0.42989439883148517,0.060650497438227355,0.35518964402566966,28075,11925,0.70
sequences,0.25,44,10,-12.3,10.68,q4,"(150, 150)",6683,0.07854388473484329,0.3172195413775007,0.060650497438227355,0.35518964402566966,28075,11925,0.70
sequences,0.25,45,10,-12.3,10.68,q1,"(50, 50)",707,-0.01298376093329255,0.5305293973940144,0.05999151808861234,0.38390514126775166,28064,11936,0.70
sequences,0.25,45,10,-12.3,10.68,q2,"(50, 150)",2240,0.08864131552577661,0.34624902359144744,0.05999151808861234,0.38390514126775166,28064,11936,0.70
sequences,0.25,45,10,-12.3,10.68,q3,"(150, 50)",2272,-0.012856131987947552,0.4918105457768945,0.05999151808861234,0.38390514126775166,28064,11936,0.70
