dyn,pqif,cut,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights
oscillations,0,0.25,3,1,-8.5,14.44,q3,"(150, 50)",2252,0.01585853146598707,0.41341484577513465,-0.0002551799388363609,0.4372721006771604,28049,11951,0.70
oscillations,0,0.25,3,1,-8.5,14.44,q4,"(150, 150)",6741,-0.0057571443603528505,0.4288267327498856,-0.0002551799388363609,0.4372721006771604,28049,11951,0.70
oscillations,0,0.25,4,1,-8.5,14.44,q1,"(50, 50)",733,0.021364980342671668,0.44595069913532637,-0.0002198772617019208,0.42805629763805464,28046,11954,0.70
oscillations,0,0.25,4,1,-8.5,14.44,q2,"(50, 150)",2248,-0.006662313888179435,0.45781703247330485,-0.0002198772617019208,0.42805629763805464,28046,11954,0.70
oscillations,0,0.25,4,1,-8.5,14.44,q3,"(150, 50)",2317,0.004915351287024707,0.4178214641747206,-0.0002198772617019208,0.42805629763805464,28046,11954,0.70
oscillations,0,0.25,4,1,-8.5,14.44,q4,"(150, 150)",6656,-0.0022086734809152603,0.4189759130874923,-0.0002198772617019208,0.42805629763805464,28046,11954,0.70
oscillations,0,0.25,5,1,-8.5,14.44,q1,"(50, 50)",754,-0.002039464467647683,0.44924337008674625,-0.0006802290403071563,0.4177647872136717,28056,11944,0.70
oscillations,0,0.25,5,1,-8.5,14.44,q2,"(50, 150)",2205,-0.0010816058144788795,0.4511916336857625,-0.0006802290403071563,0.4177647872136717,28056,11944,0.70
oscillations,0,0.25,5,1,-8.5,14.44,q3,"(150, 50)",2221,0.0018677386812401507,0.38769823338862114,-0.0006802290403071563,0.4177647872136717,28056,11944,0.70
oscillations,0,0.25,5,1,-8.5,14.44,q4,"(150, 150)",6764,-0.0012345071317165534,0.4122686949024041,-0.0006802290403071563,0.4177647872136717,28056,11944,0.70
oscillations,0,0.25,6,1,-8.5,14.44,q1,"(50, 50)",742,0.021179302480494194,0.5083487004908299,6.0201816720502035e-05,0.4350210799397448,28061,11939,0.70
oscillations,0,0.25,6,1,-8.5,14.44,q2,"(50, 150)",2271,-0.008141296263089695,0.45157400306427575,6.0201816720502035e-05,0.4350210799397448,28061,11939,0.70
oscillations,0,0.25,6,1,-8.5,14.44,q3,"(150, 50)",2197,0.0015331441607125537,0.4519128061631452,6.0201816720502035e-05,0.4350210799397448,28061,11939,0.70
oscillations,0,0.25,6,1,-8.5,14.44,q4,"(150, 150)",6729,1.846829271668833e-05,0.41436502187600677,6.0201816720502035e-05,0.4350210799397448,28061,11939,0.70
oscillations,0,0.25,7,1,-8.5,14.44,q1,"(50, 50)",737,0.04988175929214299,0.5183142197560536,-0.0003881540254315983,0.4370034073314112,28058,11942,0.70
oscillations,0,0.25,7,1,-8.5,14.44,q2,"(50, 150)",2243,-0.015703075665417458,0.4699988441451083,-0.0003881540254315983,0.4370034073314112,28058,11942,0.70
oscillations,0,0.25,7,1,-8.5,14.44,q3,"(150, 50)",2220,-0.008162781338192149,0.4487721396327773,-0.0003881540254315983,0.4370034073314112,28058,11942,0.70
oscillations,0,0.25,7,1,-8.5,14.44,q4,"(150, 150)",6742,0.0017717563509795874,0.4107467033460636,-0.0003881540254315983,0.4370034073314112,28058,11942,0.70
oscillations,0,0.25,8,1,-8.5,14.44,q1,"(50, 50)",746,-0.003197624148058967,0.47243499003734485,-0.00023310752302209853,0.4282967611122459,28053,11947,0.70
oscillations,0,0.25,8,1,-8.5,14.44,q2,"(50, 150)",2209,0.001659643546075937,0.46779764686338826,-0.00023310752302209853,0.4282967611122459,28053,11947,0.70
oscillations,0,0.25,8,1,-8.5,14.44,q3,"(150, 50)",2269,0.00265330578299789,0.41395690390359197,-0.00023310752302209853,0.4282967611122459,28053,11947,0.70
oscillations,0,0.25,8,1,-8.5,14.44,q4,"(150, 150)",6723,-0.0015002248070797248,0.4140844366428296,-0.00023310752302209853,0.4282967611122459,28053,11947,0.70
oscillations,0,0.25,9,1,-8.5,14.44,q1,"(50, 50)",725,-0.02949183765301597,0.4746251005996008,6.835155286651256e-05,0.4180667943905531,28061,11939,0.70
oscillations,0,0.25,9,1,-8.5,14.44,q2,"(50, 150)",2263,0.007817521004144417,0.42689812113019443,6.835155286651256e-05,0.4180667943905531,28061,11939,0.70
oscillations,0,0.25,9,1,-8.5,14.44,q3,"(150, 50)",2309,0.010964343721208707,0.4050438708577315,6.835155286651256e-05,0.4180667943905531,28061,11939,0.70
oscillations,0,0.25,9,1,-8.5,14.44,q4,"(150, 150)",6642,-0.003133105720647374,0.4126564930221887,6.835155286651256e-05,0.4180667943905531,28061,11939,0.70
oscillations,0,0.25,10,1,-8.5,14.44,q1,"(50, 50)",749,-0.005890111601898589,0.43139221823711366,0.0001804859311908475,0.4281777022431072,28068,11932,0.70
oscillations,0,0.25,10,1,-8.5,14.44,q2,"(50, 150)",2255,0.001363669822795674,0.4788499282046255,0.0001804859311908475,0.4281777022431072,28068,11932,0.70
oscillations,0,0.25,10,1,-8.5,14.44,q3,"(150, 50)",2182,-0.0019924233492270055,0.4375649663120639,0.0001804859311908475,0.4281777022431072,28068,11932,0.70
oscillations,0,0.25,10,1,-8.5,14.44,q4,"(150, 150)",6746,0.0011618209336496184,0.40623899460323504,0.0001804859311908475,0.4281777022431072,28068,11932,0.70
oscillations,0,0.25,11,1,-8.5,14.44,q1,"(50, 50)",722,0.013388173190265041,0.448909064040651,0.00028226114035476233,0.4381731737847028,28051,11949,0.70
oscillations,0,0.25,11,1,-8.5,14.44,q2,"(50, 150)",2241,-0.0061289516124415485,0.475429447007871,0.00028226114035476233,0.4381731737847028,28051,11949,0.70
oscillations,0,0.25,11,1,-8.5,14.44,q3,"(150, 50)",2216,0.017777936363543932,0.4066118397273135,0.00028226114035476233,0.4381731737847028,28051,11949,0.70
oscillations,0,0.25,11,1,-8.5,14.44,q4,"(150, 150)",6770,-0.004720007251906078,0.43391616297010627,0.00028226114035476233,0.4381731737847028,28051,11949,0.70
oscillations,0,0.25,12,1,-8.5,14.44,q1,"(50, 50)",728,-0.014188063386229608,0.4983992722845492,-5.882962145018429e-06,0.42818823680706214,28063,11937,0.70
oscillations,0,0.25,12,1,-8.5,14.44,q2,"(50, 150)",2235,0.0050061923218173736,0.46779570093023637,-5.882962145018429e-06,0.42818823680706214,28063,11937,0.70
oscillations,0,0.25,12,1,-8.5,14.44,q3,"(150, 50)",2329,0.003642464330617589,0.4231143719451406,-5.882962145018429e-06,0.42818823680706214,28063,11937,0.70
oscillations,0,0.25,12,1,-8.5,14.44,q4,"(150, 150)",6645,-0.0014166221277983632,0.40713455672763554,-5.882962145018429e-06,0.42818823680706214,28063,11937,0.70
oscillations,0,0.25,13,1,-8.5,14.44,q1,"(50, 50)",758,-6.32779812754824e-05,0.5153536697933201,-0.0002612012207391923,0.4358383709399741,28069,11931,0.70
oscillations,0,0.25,13,1,-8.5,14.44,q2,"(50, 150)",2285,-0.0005974717673266831,0.43092336709892753,-0.0002612012207391923,0.4358383709399741,28069,11931,0.70
oscillations,0,0.25,13,1,-8.5,14.44,q3,"(150, 50)",2239,0.0005925660159550014,0.42883390219812434,-0.0002612012207391923,0.4358383709399741,28069,11931,0.70
oscillations,0,0.25,13,1,-8.5,14.44,q4,"(150, 150)",6649,-0.0004557015154480762,0.4299253804492611,-0.0002612012207391923,0.4358383709399741,28069,11931,0.70
oscillations,0,0.25,14,1,-8.5,14.44,q1,"(50, 50)",718,-0.01038327861523006,0.46179474740753557,4.35204067956391e-06,0.4312454409930572,28069,11931,0.70
oscillations,0,0.25,14,1,-8.5,14.44,q2,"(50, 150)",2214,0.0031643192960680074,0.4703805691347719,4.35204067956391e-06,0.4312454409930572,28069,11931,0.70
oscillations,0,0.25,14,1,-8.5,14.44,q3,"(150, 50)",2262,0.00500526403026462,0.4246558530249498,4.35204067956391e-06,0.4312454409930572,28069,11931,0.70
oscillations,0,0.25,14,1,-8.5,14.44,q4,"(150, 150)",6737,-0.00160614396836427,0.41633769862024994,4.35204067956391e-06,0.4312454409930572,28069,11931,0.70
oscillations,0,0.25,15,1,-8.5,14.44,q1,"(50, 50)",756,0.03853972609779491,0.45345314278851484,1.7752714625484807e-05,0.42337516086034904,28051,11949,0.70
oscillations,0,0.25,15,1,-8.5,14.44,q2,"(50, 150)",2259,-0.013219010416960256,0.44889371240006,1.7752714625484807e-05,0.42337516086034904,28051,11949,0.70
oscillations,0,0.25,15,1,-8.5,14.44,q3,"(150, 50)",2229,0.007488648945691031,0.3918554085854007,1.7752714625484807e-05,0.42337516086034904,28051,11949,0.70
oscillations,0,0.25,15,1,-8.5,14.44,q4,"(150, 150)",6705,-0.002349643506473544,0.42079131944595144,1.7752714625484807e-05,0.42337516086034904,28051,11949,0.70
oscillations,0,0.25,16,1,-8.5,14.44,q1,"(50, 50)",731,0.026645319164273835,0.5034514345686967,-2.3671704411948016e-05,0.4205964765905965,28052,11948,0.70
oscillations,0,0.25,16,1,-8.5,14.44,q2,"(50, 150)",2200,-0.009496658713656384,0.4445178331815484,-2.3671704411948016e-05,0.4205964765905965,28052,11948,0.70
oscillations,0,0.25,16,1,-8.5,14.44,q3,"(150, 50)",2242,-0.0021048503231386718,0.3904566562000265,-2.3671704411948016e-05,0.4205964765905965,28052,11948,0.70
oscillations,0,0.25,16,1,-8.5,14.44,q4,"(150, 150)",6775,0.0008636407027487545,0.41219153566370276,-2.3671704411948016e-05,0.4205964765905965,28052,11948,0.70
oscillations,0,0.25,17,1,-8.5,14.44,q1,"(50, 50)",734,0.0068250692218124395,0.44418763649865783,0.0003222658972500761,0.41187475205723945,28065,11935,0.70
oscillations,0,0.25,17,1,-8.5,14.44,q2,"(50, 150)",2274,0.00021414844674042677,0.42439591570855756,0.0003222658972500761,0.41187475205723945,28065,11935,0.70
oscillations,0,0.25,17,1,-8.5,14.44,q3,"(150, 50)",2320,2.7889744014134214e-05,0.3997764169198553,0.0003222658972500761,0.41187475205723945,28065,11935,0.70
