dyn,pqif,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights,mean_in_deg,mean_out_deg,tau_rec,tau_div,tau_con,tau_chn
oscillations,0.75,33,2,-12.3,10.68,q1,"(150, 150)",6808,-0.0015369296499362843,0.5089328640899706,-0.0008145175716695595,0.5199837720919347,28060,11940,0.70,-0.062412486933654886,-0.2680150859569814,-0.05057974284054792,-0.0008796556573228067,-0.004973963541223756,-4.429565587555798e-05
oscillations,0.75,33,2,-12.3,10.68,q2,"(150, 50)",2183,0.0005046010154457128,0.522195041871426,-0.0008145175716695595,0.5199837720919347,28060,11940,0.70,-0.062412486933654886,0.6095384617562538,0.02404982953501398,0.001589456473000619,-0.013728901622746986,-0.002009880312959722
oscillations,0.75,33,2,-12.3,10.68,q3,"(50, 150)",2230,-0.013335805307973542,0.5504412333193699,-0.0008145175716695595,0.5199837720919347,28060,11940,0.70,-0.007269335313726133,-0.2680150859569814,0.02872222465126574,0.004285055248294375,-0.0035347109271516236,-0.010374069918358701
oscillations,0.75,33,2,-12.3,10.68,q4,"(50, 50)",719,0.04085588187913031,0.5173967840054041,-0.0008145175716695595,0.5199837720919347,28060,11940,0.70,-0.007269335313726133,0.6095384617562538,-0.004807870228427772,-0.0028515971756096674,-0.011678566754021675,0.013035351425949583
oscillations,0.75,34,2,-12.3,10.68,q1,"(150, 150)",6765,0.005123149812798984,0.5102433810329976,0.0021631169640652825,0.51682691780569,28057,11943,0.70,0.1363935373969394,0.3679167171917401,-0.051635575681342895,0.0011043427302554227,-0.005024718365286613,-0.00023163940600415918
oscillations,0.75,34,2,-12.3,10.68,q2,"(150, 50)",2180,-0.006513338474332202,0.50480627385225,0.0021631169640652825,0.51682691780569,28057,11943,0.70,0.1363935373969394,-0.5870680335385863,0.049784772227761225,0.0017375630932395037,-0.012755466706020503,0.001666649045803122
oscillations,0.75,34,2,-12.3,10.68,q3,"(50, 150)",2284,0.008988353369166322,0.5423358532225113,0.0021631169640652825,0.51682691780569,28057,11943,0.70,0.10750150584581533,0.3679167171917401,0.011194043000943473,-0.0036064060182395326,-0.0026967274991831795,-0.0003631663259131296
oscillations,0.75,34,2,-12.3,10.68,q4,"(50, 50)",714,-0.02122454314129567,0.5303162958216553,0.0021631169640652825,0.51682691780569,28057,11943,0.70,0.10750150584581533,-0.5870680335385863,-0.0512149406313175,-0.0009527815866046931,-0.00490097904531118,0.014945339265387127
oscillations,0.75,35,2,-12.3,10.68,q1,"(150, 150)",6670,-0.0013587405274532076,0.5020172031887575,0.00013990079652681297,0.5055088550475504,28061,11939,0.70,-0.0710278070457428,0.09043850520929961,-0.08394299973730485,-0.001234180232600082,-0.003748662794591942,0.0005921200508901557
oscillations,0.75,35,2,-12.3,10.68,q2,"(150, 50)",2266,-0.0007022823207186795,0.48874046807136073,0.00013990079652681297,0.5055088550475504,28061,11939,0.70,-0.0710278070457428,-0.2379100034332263,0.019828435133085166,0.008408972692872739,-0.007115374971393111,-0.0013898478681695196
