experiment_id,pair_id,pre_cell_id,post_cell_id,psp_amplitude
2771,87853,15831,15836,-0.0002308601953462813
2771,87854,15831,15837,-0.0008402112484000791
2771,87855,15832,15831,
2771,87858,15832,15835,
2771,87860,15832,15837,
2771,87862,15833,15832,-0.00048224262294269365
2771,87866,15833,15837,-0.00020097319617873202
2771,87871,15834,15836,-0.00017317930029461435
2771,87874,15835,15832,-0.0011629600513436713
2771,87877,15835,15836,-0.0005646437986744103
2771,87878,15835,15837,-0.0008478684340560566
2771,87883,15836,15835,0.0006481037345625834
2771,87884,15836,15837,0.0009761481344483107
2774,87911,15844,15851,-0.0006210549747353803
2774,87952,15850,15849,
2774,87953,15850,15851,
2774,87954,15851,15844,
2776,87993,15857,15861,-0.00016039643105749443
2777,87995,15864,15868,
2776,88010,15858,15862,
2777,88011,15864,15875,
2777,88017,15867,15868,-0.00013174793329213583
2777,88023,15867,15870,-7.068759909620282e-05
2776,88073,15862,15857,
2777,88093,15870,15868,-0.0007192073196809693
2777,88101,15870,15875,
2777,88122,15875,15868,-7.927417099499914e-05
2780,88155,15886,15884,-8.94737302758738e-05
2783,88231,15900,15901,-0.000635922464800061
2783,88235,15900,15906,
2783,88237,15900,15909,-0.00020803290791050126
2783,88280,15909,15900,-0.00027219365883568024
2787,88351,15922,15925,-0.000103520926548258
2792,88524,15955,15957,7.410262772497538e-07
2791,88529,15949,15946,
2793,88584,15963,15964,-4.423791868994533e-05
2793,88588,15964,15961,-2.5762379777088387e-05
2799,88744,15996,15994,
2804,88871,16019,16021,
2804,88877,16019,16024,
2808,88880,16031,16035,
2808,88888,16031,16036,0.0003620842297455212
2804,88902,16021,16027,0.0
2808,88913,16035,16031,
2808,88919,16035,16036,
2804,88928,16023,16027,
2808,88929,16035,16040,
2808,88934,16035,16042,
2809,88939,16044,16046,-0.00029035104906408103
2808,88940,16036,16031,
2804,88950,16024,16021,9.316672661328797e-05
2804,88959,16024,16027,-0.0007418530472910526
2809,88964,16045,16046,-0.00027204004568516494
2808,88986,16040,16035,0.00018066862211638826
2808,88988,16040,16036,0.00013973256310706157
2809,88989,16047,16046,-6.916884534377093e-05
2808,88991,16040,16042,
2808,88994,16042,16035,
2808,88998,16042,16040,
2811,89044,16056,16059,2.5163071786017275e-05
2810,89061,16055,16053,
2811,89093,16061,16062,
2811,89100,16062,16061,
2812,89118,16065,16067,0.0013316494331202606
2812,89131,16067,16065,
2812,89133,16067,16068,-0.0003105969244064057
2812,89134,16067,16069,-0.00044577023123082925
2812,89140,16068,16067,0.0006813899981105222
2812,89147,16069,16067,0.0014173372359060365
2812,89157,16070,16071,
2812,89164,16071,16070,
2814,89195,16078,16081,-0.0002847417753429228
2814,89214,16081,16078,-0.00045594147011277907
2814,89215,16081,16079,-0.0001154602240951571
2814,89224,16082,16081,-0.0001505061729819325
2817,89249,16092,16093,-0.0005935482954495938
2820,89327,16107,16108,
2820,89328,16107,16109,-0.0004236810770061549
2820,89354,16111,16106,-7.338191627254435e-05
2825,89472,16133,16135,
2825,89475,16135,16133,
2830,89574,16156,16155,-0.0007096266859132859
2844,89897,16216,16217,-0.00041695554613815954
2844,89898,16216,16218,-0.0009094228538549382
2844,89900,16217,16213,-0.00046270068823587814
2844,89903,16217,16216,-0.0011385199240523717
2844,89904,16217,16218,-0.0003101093622740298
2844,89906,16218,16213,
2845,89946,16224,16219,-0.0013967368412919783
2845,89952,16224,16226,
2845,89960,16226,16219,-0.0012084993254901527
2845,89965,16226,16224,
2847,89997,16235,16228,
2847,90006,16238,16228,
2847,90009,16238,16232,
2856,90265,16283,16286,-0.0001335445637444669
2856,90275,16285,16286,-9.202593922431825e-05
2856,90278,16286,16283,
2856,90279,16286,16284,-0.0003183615540262463
2856,90280,16286,16285,
2857,90287,16288,16287,8.47469437633433e-05
2857,90317,16293,16287,
2858,90331,16295,16296,0.0009457774314701088
2858,90338,16296,16295,-0.0005189960519293396
2858,90340,16296,16298,
2858,90341,16296,16299,-0.0007326994435400012
2858,90342,16296,16300,-0.0006529588683738725
2858,90353,16298,16296,
2860,90429,16310,16314,0.000978720206986429
2860,90451,16313,16314,0.00121962289508616
2860,90454,16314,16309,
2860,90462,16314,16313,
2860,90464,16314,16315,-0.0008039335769059789
2860,90478,16315,16314,0.0005111339397414121
2863,90505,16324,16325,-0.00047419303437547776
2863,90510,16324,16330,-4.351244277549574e-05
2863,90511,16324,16331,-0.0007757941480154683
2863,90553,16330,16331,0.0019028272400831916
2863,90560,16331,16330,0.0002698742566009364
2866,90649,16347,16346,
2868,90673,16354,16355,
2868,90677,16355,16354,-0.00022176063763395485
2869,90701,16360,16361,-0.0012683654157301578
2871,90779,16374,16375,
2875,90819,16388,16389,
2875,90851,16393,16388,
2877,90882,16400,16402,0.0010128674937861257
2877,90884,16400,16404,0.00016954314352596731
2877,90888,16401,16404,0.0006321187477769088
2877,90889,16402,16400,-0.00025331878352852417
2877,90891,16402,16403,
2877,90896,16403,16404,0.00010550664057930214
2878,90912,16406,16411,0.0001093501854118005
2878,90926,16409,16406,-0.0011434139591225082
2878,90930,16409,16411,-0.002048729987043185
2878,90941,16411,16409,0.00040954415731911544
2879,90968,16416,16413,-0.0003921537377991833
2879,90969,16416,16414,
2879,90971,16416,16417,
2879,90974,16417,16413,8.123579922527658e-05
2880,90993,16421,16422,-0.00018661617104146096
2880,90996,16422,16421,7.679565306844577e-05
2884,91065,16438,16441,-0.00047047036730193427
2888,91207,16463,16462,
2888,91210,16463,16466,
2888,91217,16464,16467,6.738927563684419e-05
2888,91233,16467,16464,0.0011046902538745294
2888,91236,16467,16468,
2888,91237,16468,16462,0.0001361465122177757
2888,91239,16468,16464,0.00038233207305675085
2888,91242,16468,16467,0.0005959997035509176
2890,91313,16480,16479,-0.00021942874283909322
2890,91314,16480,16481,-0.0015150813571601623
2890,91337,16482,16481,
2891,91355,16488,16486,0.00025114653727272614
2892,91359,16489,16492,
2892,91372,16491,16490,0.0017364248168736077
2894,91460,16506,16505,0.00013047071718558042
2895,91483,16510,16511,
2895,91484,16510,16512,-0.00021006535172817057
2895,91486,16510,16514,
2895,91490,16511,16510,-0.00017426787922905597
2895,91494,16511,16514,
2895,91501,16512,16510,
2895,91541,16515,16511,-0.00010304017812758228
2895,91542,16515,16512,-0.00012083108785109674
2895,91543,16515,16513,-3.181820460256327e-05
2897,91564,16524,16525,
2897,91566,16525,16524,-0.0009900363762054892
2899,91617,16534,16536,
2899,91628,16536,16534,
2899,91632,16536,16539,
2899,91645,16538,16534,
2899,91659,16538,16539,
2900,91678,16544,16546,-0.00019204018070699568
2903,91735,16555,16556,-1.9056515987108497e-05
2903,91751,16557,16558,-0.0001940511777282723
2903,91752,16557,16559,-6.80364326959947e-05
2903,91754,16557,16561,-0.0001490042064757375
2903,91764,16559,16556,-0.0003625101804755757
2903,91774,16560,16559,-0.0009671780723126164
2904,91809,16566,16563,
2904,91835,16569,16567,0.0007214522613706361
2906,91838,16571,16570,
2908,91881,16583,16584,-0.0004094096720502348
2910,91943,16592,16595,-0.0008873770655089628
2910,91953,16595,16592,-2.8290429202411095e-05
2910,91955,16595,16594,-0.00023623753942296098
2911,91967,16598,16600,-0.0004978076939669159
2912,91972,16602,16603,-0.000626398971105314
2913,92019,16609,16610,0.00023570768473287412
2913,92023,16609,16611,0.0018370100416759277
2913,92037,16611,16609,-0.0003745759755016179
2913,92048,16612,16614,6.749924858373622e-05
2913,92051,16613,16609,-0.0006026486897113988
2913,92053,16613,16611,-5.056497452686124e-05
2913,92065,16615,16609,
2913,92072,16616,16609,-0.0005141452249839552
2913,92074,16616,16611,-5.783787101543272e-05
2913,92078,16616,16615,
2916,92152,16632,16631,
2917,92164,16635,16636,-0.001264906454993196
2917,92168,16636,16635,-0.00024993593579615894
2917,92169,16636,16637,-0.0008937941245160731
2917,92177,16638,16636,-0.001107824874711658
2917,92178,16638,16637,-0.0024753374941836204
2918,92179,16639,16640,0.0021309117170959175
2920,92227,16649,16650,-0.00033994299783497326
2920,92240,16650,16656,-0.00015696247506196282
2920,92242,16651,16650,-0.0001222316896701453
2920,92247,16651,16656,-0.0006248987050542238
2920,92271,16655,16651,
2920,92275,16655,16656,
2920,92277,16656,16650,0.0005632048597817938
2920,92278,16656,16651,0.0007763840314186712
2920,92282,16656,16655,0.0008505231549233442
2921,92335,16666,16660,-0.00019684859812276866
2921,92354,16669,16670,-0.0001639420202133316
2921,92356,16670,16660,-0.00011957414063870842
2921,92360,16670,16669,
2925,92408,16680,16683,-0.0001279679300325206
2925,92433,16683,16691,-0.0001145631845929074
2925,92437,16685,16683,-0.0002785807638714409
2925,92443,16688,16683,
2929,92618,16714,16713,-0.0002528884089588921
2929,92623,16715,16714,
2932,92693,16729,16732,-0.0008052254539611828
2932,92694,16729,16733,-0.00011794487652896349
2932,92709,16732,16733,
2932,92714,16733,16732,
2934,92765,16742,16745,
2935,92784,16747,16749,-0.00014680173397515459
2935,92787,16747,16752,-0.00033557780793768744
2935,92789,16747,16753,-0.00023285372540659188
2935,92791,16748,16749,-0.00028215462350192463
2935,92799,16748,16753,-0.0008478197394477527
2935,92821,16751,16749,-0.0004595029071455812
2935,92824,16751,16752,-0.0015841751108747752
2935,92825,16751,16753,-0.0008378184999373903
2946,93119,16807,16808,
2947,93139,16812,16809,
2948,93151,16815,16816,
2952,93251,16837,16839,0.0004171996325761397
2952,93263,16837,16845,
2952,93284,16839,16845,0.0005714402050208019
2954,93312,16856,16854,
2952,93349,16847,16845,0.0007240698961319923
2960,93537,16889,16893,
2962,93607,16900,16899,
2962,93611,16900,16904,-0.00014399832070559836
2962,93632,16904,16900,6.0866463316553264e-05
2967,93796,16931,16935,-6.144236982094046e-05
2967,93803,16932,16935,-0.0001915288810301198
2967,93826,16935,16932,-0.0001514890176367853
2969,93877,16945,16946,-0.0009481297305480967
2969,93883,16946,16945,-0.0012126869303428294
2969,93889,16947,16945,
2969,93890,16947,16946,
2970,93906,16950,16952,
2970,93908,16951,16950,-0.00037694342151319677
2970,93909,16951,16952,
2970,93911,16952,16950,0.0011365360810285598
2970,93912,16952,16951,0.0001800670318524085
2971,93922,16955,16954,
2972,93970,16964,16963,-0.0003247430531759871
2972,93974,16965,16962,-0.00022363864864416016
2972,93975,16965,16963,-7.94158480743937e-05
2972,93976,16965,16964,-9.897353880611488e-05
2974,94035,16974,16977,
