experiment_id,pre_cell_id,post_cell_id,has_synapse,pre_cell_class,post_cell_class,fi_slope_pre,fi_slope_post,psp_amplitude
850,5489,5491,1,in,in,-5.787401453812609e-14,-1.9685041005704823e-14,-0.0008688776725191212
850,5490,5489,0,in,in,1.274285560825905e-12,-5.787401453812609e-14,
850,5490,5491,0,in,in,1.274285560825905e-12,-1.9685041005704823e-14,
850,5491,5489,0,in,in,-1.9685041005704823e-14,-5.787401453812609e-14,
850,5491,5490,0,in,in,-1.9685041005704823e-14,1.274285560825905e-12,
851,5495,5497,0,mixed,in,6.720001362304811e-13,1.1338583627500874e-14,
851,5495,5499,1,mixed,in,6.720001362304811e-13,1.1851430090680786e-12,0.00010008677276012782
851,5497,5495,0,in,mixed,1.1338583627500874e-14,6.720001362304811e-13,
851,5497,5499,0,in,in,1.1338583627500874e-14,1.1851430090680786e-12,
851,5499,5495,0,in,mixed,1.1851430090680786e-12,6.720001362304811e-13,
851,5499,5497,0,in,in,1.1851430090680786e-12,1.1338583627500874e-14,
852,5500,5504,0,ex,in,1.399999889373778e-13,1.4285714285714284e-13,
852,5500,5505,0,ex,in,1.399999889373778e-13,1.1763888819570849e-12,
852,5503,5504,0,in,in,4.0329110989160037e-13,1.4285714285714284e-13,
852,5503,5505,0,in,in,4.0329110989160037e-13,1.1763888819570849e-12,
852,5504,5500,1,in,ex,1.4285714285714284e-13,1.399999889373778e-13,-0.0001967239402556747
852,5505,5500,0,in,ex,1.1763888819570849e-12,1.399999889373778e-13,
852,5505,5503,0,in,in,1.1763888819570849e-12,4.0329110989160037e-13,
858,5535,5536,0,in,ex,1.1428570681202156e-14,7.142856364347337e-15,
858,5535,5538,0,in,in,1.1428570681202156e-14,-6.999999814714666e-14,
858,5535,5539,0,in,,1.1428570681202156e-14,7.070942154251362e-30,
858,5536,5535,0,ex,in,7.142856364347337e-15,1.1428570681202156e-14,
858,5536,5538,0,ex,in,7.142856364347337e-15,-6.999999814714666e-14,
858,5536,5539,0,ex,,7.142856364347337e-15,7.070942154251362e-30,
